is_Monday,is_Tuesday,is_Wednesday,is_Thursday,is_Friday,is_Saturday,is_Sunday,hour,is_A1,is_A2,is_A3,is_A4,is_A5,is_A6,is_A7,is_A8,passenger_origin,is_holiday,is_weekend,is_festival,rain_flag,cloudcover,temp,temp_bin,temp_range
1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,312,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,172,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,48,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,66,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,97,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,158,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,77,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,178,1,0,1,0,27.1,79.2,1,79–86°F
1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,528,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,329,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,58,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,148,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,168,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,312,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,164,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,471,1,0,1,0,27.1,77.4,0,≤78°F
1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,659,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,618,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,88,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,266,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,218,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,534,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,200,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,782,1,0,1,0,57.3,78.3,1,79–86°F
1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,639,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,722,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,92,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,325,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,293,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,648,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,197,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,761,1,0,1,0,27.1,81.0,1,79–86°F
1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,674,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,539,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,73,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,232,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,216,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,424,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,137,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,592,1,0,1,0,27.1,84.2,1,79–86°F
1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,589,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,314,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,47,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,177,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,194,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,314,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,118,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,559,1,0,1,0,32.8,88.5,2,87–93°F
1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,546,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,246,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,76,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,176,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,244,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,296,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,137,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,531,1,0,1,0,88.3,90.0,2,87–93°F
1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,562,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,253,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,76,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,141,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,221,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,311,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,124,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,480,1,0,1,0,27.1,91.4,2,87–93°F
1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,481,1,0,1,0,61.7,93.9,3,≥94°F
1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,282,1,0,1,0,61.7,93.9,3,≥94°F
1,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,72,1,0,1,0,61.7,93.9,3,≥94°F
1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,134,1,0,1,0,61.7,93.9,3,≥94°F
1,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,174,1,0,1,0,61.7,93.9,3,≥94°F
1,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,278,1,0,1,0,61.7,93.9,3,≥94°F
